Date,High,Low,Open,Close,Volume,Adj Close
31-07-2019,156.8999939,141.6499939,141.8500061,152.8999939,3273656,150.6901245
01-08-2019,153.5,140.6000061,152,146.3500061,1628203,144.2348022
02-08-2019,149.9499969,144.1499939,146.3999939,147.25,813883,145.1217957
05-08-2019,146.0500031,139.1000061,144.0500031,144.8000031,2322686,142.7071991
06-08-2019,149.3999939,142.6000061,143,145.4499969,2050104,143.3477936
07-08-2019,155.1999969,144.9499969,145,150.5,1134774,148.3248138
08-08-2019,159.3000031,150.6999969,155,157.3000031,773392,155.026535
09-08-2019,163.4499969,158,158,159.6000061,726140,157.2933044
13-08-2019,166.8000031,160,160.5,163.8000031,1028204,161.4326019
14-08-2019,167,163.6000061,164,164.25,376923,161.8760834
16-08-2019,165,156.1000061,165,157.4499969,532190,155.1743622
19-08-2019,158.8999939,153.25,158.8000031,154.1999969,334336,151.9713287
20-08-2019,155.8999939,149,154.6499939,150.1000061,381003,147.930603
21-08-2019,151.5,145.0500031,150.5,146.75,402422,144.6290131
22-08-2019,147.6499939,142,146.25,145.9499969,430988,143.8405762
23-08-2019,149.8000031,143,145.1499939,148,330235,145.8609467
26-08-2019,163,152,152,160.6499939,1540740,158.3281097
27-08-2019,165,161,161.25,163.3500061,557802,160.9891052
28-08-2019,173.3999939,164.1000061,165.1000061,168.3999939,1987210,165.966095
29-08-2019,169.8500061,162.5,169.5,163.8500061,475330,161.4818726
30-08-2019,178.6000061,164.0500031,164.0500031,176.5,1821183,173.9490356
03-09-2019,178.6999969,167.1000061,172.5,168.1499939,797193,165.7197113
04-09-2019,175,165.25,169.8000031,172.8999939,626173,170.401062
05-09-2019,176.4499969,170.6000061,175.5,171.6999969,471272,169.218399
06-09-2019,177.3500061,171.8999939,171.8999939,176.3000031,519804,173.7519379
09-09-2019,178.5,172.0500031,175.1499939,176.5,402640,173.9490356
11-09-2019,187.3999939,174.6999969,176.3999939,182.8500061,1127059,180.2072754
12-09-2019,189.5500031,183,183.6999969,184.3000031,927702,181.6363068
13-09-2019,185.5,180.1000061,185.3500061,182.6999969,424509,180.059433
16-09-2019,181.3000031,176.3500061,180.1000061,179.1000061,537828,176.5114594
17-09-2019,178.9499969,170.6000061,178.5,171.3999939,422000,168.9227448
18-09-2019,176.3999939,170.6000061,172.8500061,173.6499939,432348,171.140213
19-09-2019,174.5,168,174.5,170.1000061,447353,167.6415405
20-09-2019,190,171.1000061,176,188.1999969,1941320,185.4799347
23-09-2019,193,182,191.9499969,187.8999939,928455,185.1842651
24-09-2019,200.8500061,183.0500031,186.1499939,197.6999969,1593579,194.8426208
25-09-2019,197.8000031,188,196,189.8000031,731702,187.0568085
26-09-2019,197,185,189,194.1499939,1174230,191.3439331
27-09-2019,195.6999969,180.8000031,195.25,181.6499939,753201,179.0245972
30-09-2019,183,168,183,168.8999939,882770,166.4588776
01-10-2019,174.4499969,153,170.25,164.6499939,1028984,162.2703094
03-10-2019,165.6999969,153,165.6999969,154.1000061,1046880,151.8728027
04-10-2019,156.3500061,150.0500031,155.1999969,152.5,1148639,150.2959137
07-10-2019,158.6000061,150,152.8999939,157.3000031,883590,155.026535
09-10-2019,171,158.25,160,169.4499969,1662472,167.0009308
10-10-2019,174.3999939,164.3500061,167,172.6499939,1210931,170.1546631
