Date,Weekly Returns,Weekly TBill,Weekly Excess
2019-04-12,-3.345798955899537,0.12192307689711537,-3.4677220327966527
2019-04-19,-3.73235132550519,0.12288461541923076,-3.8552359409244206
2019-04-26,-1.9083969933625156,0.12442307694230768,-2.0328200703048234
2019-05-03,-0.9829997773835419,0.12403846156153844,-1.1070382389450804
2019-05-10,-11.499484199279342,0.12211538458749999,-11.621599583866843
2019-05-17,-22.668848184995717,0.12019230768365384,-22.78904049267937
2019-05-24,20.247809379216754,0.11769230770865385,20.1301170715081
2019-05-31,1.3068641082673693,0.11384615383076922,1.1930179544366002
2019-06-07,-3.4234726126506354,0.11499999997307692,-3.5384726126237123
2019-06-14,-4.007186250987926,0.1148076922826923,-4.121993943270619
2019-06-21,-3.746320455628982,0.11557692304423076,-3.8618973786732127
2019-06-28,-4.920770532763763,0.11326923075961538,-5.034039763523379
2019-07-05,-0.02924155073555923,0.11249999999807692,-0.14174155073363615
2019-07-12,-3.392806759460698,0.11019230771346153,-3.5029990671741595
2019-07-19,-5.267936584784449,0.11038461540384614,-5.378321200188295
2019-07-26,-6.072227667184205,0.10865384612019231,-6.180881513304397
2019-08-02,0.20415315276494095,0.10423076924134615,0.0999223835235948
2019-08-09,8.387100919195678,0.10538461538365386,8.281716303812024
2019-08-16,-1.3471234793556053,0.10403846155096154,-1.4511619409065668
2019-08-23,-6.001903544875042,0.10423076924134615,-6.106134314116389
2019-08-30,19.256756756756754,0.1023076923375,19.154449064419254
2019-09-06,-0.11331271855081759,0.10250000002788462,-0.2158127185787022
2019-09-13,3.630172311798252,0.1023076923375,3.527864619460752
2019-09-20,3.0103996124083876,0.10403846155096154,2.906361150857426
2019-09-27,-3.4803417417478277,0.10076923074423078,-3.5811109724920587
2019-10-04,-16.047340972164235,0.09999999998269231,-16.147340972146928
2019-10-11,11.540987608862707,0.09769230769807692,11.44329530116463
2019-10-18,10.141093110544851,0.09807692307884615,10.043016187466005
2019-10-25,3.069121864251767,0.09692307693653847,2.9721987873152287
2019-11-01,6.861729456858234,0.09769230769807692,6.764037149160157
2019-11-08,-5.3792128786985804,0.09730769231730768,-5.476520571015888
2019-11-15,-2.9193326239396633,0.09692307693653847,-3.0162557008762017
2019-11-22,4.062251028368302,0.09442307689134616,3.967827951476956
2019-11-29,9.657796223958325,0.09653846155576923,9.561257762402557
2019-12-06,-1.109574258627799,0.09692307693653847,-1.2064973355643376
2019-12-13,-0.7012622920998801,0.09692307693653847,-0.7981853690364186
2019-12-20,-1.1770245159321457,0.09653846155576923,-1.273562977487915
2019-12-27,-2.9299638281634954,0.09596153848461539,-3.025925366648111
2020-01-03,-4.834358823811346,0.09711538462692307,-4.931474208438269
2020-01-10,4.5642116462573545,0.09807692307884615,4.4661347231785085
2020-01-17,-1.085078642782833,0.09846153845961539,-1.1835401812424484
2020-01-24,-2.667666927003187,0.09865384615,-2.766320773153187
2020-01-31,-7.812500122140664,0.09826923076923078,-7.910769352909894
2020-02-07,-6.307302604729181,0.09826923076923078,-6.405571835498412
2020-02-14,-4.359434067281665,0.09750000000769231,-4.456934067289358
2020-02-21,-3.0697655492974762,0.09769230769807692,-3.1674578569955534
2020-02-28,-13.979530183553567,0.09538461541346153,-14.07491479896703
2020-03-06,-11.37969190750756,0.0938461538201923,-11.473538061327753
2020-03-13,-23.20604378664103,0.09211538460673077,-23.29815917124776
2020-03-20,-31.530052977181523,0.08192307694615385,-31.611976054127677
2020-03-27,-5.34717032278853,0.0825,-5.42967032278853
