Date,Monthly Returns,Monthly TBill,Monthly Excess
2019-05-31,-17.985756642214522,0.5100000000708333,-18.495756642285354
2019-06-30,-15.157530433731925,0.5008333331916667,-15.65836376692359
2019-07-31,-10.584798890944814,0.47750000009166665,-11.06229889103648
2019-08-31,15.43492939541462,0.4516666667125,14.98326272870212
2019-09-30,-4.305952466581086,0.4450000001125,-4.750952466693586
2019-10-31,23.978686479303057,0.42083333338333334,23.557853145919726
2019-11-30,3.2951334080193018,0.40916666652916667,2.885966741490135
2019-12-31,-8.437355405692259,0.42083333338333334,-8.858188739075592
2020-01-31,-9.13910922727198,0.4274999999833333,-9.566609227255313
2020-02-29,-25.28480176250676,0.42333333335833334,-25.708135095865092
2020-03-31,-51.39457050394862,0.354166666775,-51.74873717072362
