Date,High,Low,Open,Close,Volume,Adj Close
01-04-2019,21,19,19.5,19.60000038,3786,18.7279892
02-04-2019,19.89999962,19.5,19.79999924,19.79999924,2006,18.91908836
03-04-2019,19.95000076,19.5,19.85000038,19.60000038,884,18.7279892
04-04-2019,19.79999924,19,19.5,19.25,4821,18.39355659
05-04-2019,19.89999962,18.60000038,19.04999924,19.75,3803,18.8713131
08-04-2019,20,19.20000076,19.5,19.45000076,1764,18.58465958
09-04-2019,19.64999962,19,19.39999962,19.64999962,3425,18.77576256
10-04-2019,19.45000076,19,19.39999962,19.25,3206,18.39355659
11-04-2019,19.95000076,19.04999924,19.04999924,19.5,4393,18.63243484
12-04-2019,19.95000076,19.5,19.5,19.85000038,1644,18.96686363
15-04-2019,20.39999962,19.5,19.95000076,20,7686,19.11018944
16-04-2019,20.25,19.75,20.25,20.14999962,1287,19.25351715
18-04-2019,20.45000076,19.29999924,20,20.39999962,4765,19.49239349
22-04-2019,20.35000038,19.54999924,20.35000038,19.79999924,408,18.91908836
23-04-2019,20,19.5,19.70000076,19.85000038,2660,18.96686363
24-04-2019,19.85000038,19,19.54999924,19.25,3213,18.39355659
25-04-2019,20.25,19.25,19.45000076,19.70000076,4426,18.82353973
26-04-2019,20.70000076,19.70000076,20,20.39999962,5864,19.49239349
30-04-2019,20.10000038,19.70000076,20,19.75,4311,18.8713131
02-05-2019,20.45000076,19.60000038,20.45000076,19.60000038,4018,18.7279892
03-05-2019,20.29999924,19.60000038,19.64999962,20.14999962,3049,19.25351715
06-05-2019,20.14999962,19.75,19.75,19.89999962,1959,19.0146389
07-05-2019,20,19.54999924,19.60000038,20,7450,19.11018944
08-05-2019,19.85000038,19.25,19.60000038,19.5,7219,18.63243484
09-05-2019,19.64999962,19.39999962,19.64999962,19.60000038,123,18.7279892
10-05-2019,19.75,19.29999924,19.5,19.64999962,787,18.77576256
13-05-2019,19.54999924,19.10000038,19.10000038,19.14999962,1449,18.29800606
14-05-2019,19.29999924,18.70000076,19.10000038,19.10000038,4330,18.25023079
