Date,Monthly Returns
30-04-2019,
31-05-2019,-17.98575664
30-06-2019,-15.15753043
31-07-2019,-10.58479889
31-08-2019,15.4349294
30-09-2019,-4.305952467
31-10-2019,23.97868648
30-11-2019,3.295133408
31-12-2019,-8.437355406
31-01-2020,-9.139109227
29-02-2020,-25.28480176
31-03-2020,-51.3945705
