Date,Daily Returns,Daily TBill,Daily Excess,Daily_Return
2019-04-01,,,,
2019-04-02,0.6290516954787329,0.01693150685,0.6121201886287329,0.0062905169547873285
2019-04-03,-3.27266924602565,0.01704109589,-3.28971034191565,-0.0327266924602565
2019-04-04,-0.6272548842629067,0.01704109589,-0.6442959801529067,-0.0062725488426290665
2019-04-05,2.3335907597347827,0.01701369863,2.3165770611047827,0.023335907597347827
2019-04-08,-1.5327125620619109,0.01698630137,-1.5496988634319109,-0.015327125620619109
2019-04-09,-0.4935413147654222,0.01698630137,-0.5105276161354222,-0.004935413147654222
2019-04-10,-1.850441049436724,0.01704109589,-1.867482145326724,-0.01850441049436724
2019-04-11,0.27211358873906466,0.01731506849,0.2547985202490647,0.0027211358873906466
2019-04-12,0.23259374202160288,0.01728767123,0.21530607079160288,0.002325937420216029
2019-04-15,-0.4254402002982438,0.01728767123,-0.44272787152824383,-0.004254402002982438
2019-04-16,-0.776855763821338,0.01736986301,-0.794225626831338,-0.00776855763821338
2019-04-18,-2.564103789394423,0.01736986301,-2.581473652404423,-0.02564103789394423
2019-04-22,-3.6159100926868804,0.01739726027,-3.6333073529568805,-0.036159100926868804
2019-04-23,1.9174682036467772,0.01739726027,1.900070943376777,0.01917468203646777
2019-04-24,-0.14315178057898725,0.01742465753,-0.16057643810898725,-0.0014315178057898725
2019-04-25,-0.7986881003441471,0.01750684932,-0.8161949496641471,-0.00798688100344147
2019-04-26,0.8051184858845817,0.01750684932,0.7876116365645817,0.008051184858845817
2019-04-30,0.6553373514291305,0.01753424658,0.6378031048491305,0.006553373514291305
2019-05-02,-2.299081951773907,0.01778082192,-2.316862773693907,-0.02299081951773907
2019-05-03,0.687211101432883,0.0177260274,0.669485074032883,0.00687211101432883
2019-05-06,-1.0341261633919352,0.01769863014,-1.0518247935319351,-0.010341261633919352
2019-05-07,-2.04806432454937,0.01767123288,-2.0657355574293703,-0.0204806432454937
2019-05-08,-0.5547271251973407,0.01769863014,-0.5724257553373406,-0.005547271251973407
2019-05-09,-1.5232795560055856,0.01767123288,-1.5409507888855856,-0.015232795560055856
2019-05-10,-6.7756004582822715,0.01767123288,-6.793271691162271,-0.06775600458282272
2019-05-13,-13.017055967270663,0.01767123288,-13.034727200150662,-0.13017055967270663
2019-05-14,8.46319155478119,0.01747945205,8.44571210273119,0.08463191554781191
2019-05-15,-7.307406269007344,0.01750684932,-7.324913118327344,-0.07307406269007344
2019-05-16,0.2939539150332626,0.01747945205,0.2764744629832626,0.0029395391503326262
2019-05-17,-11.830534330040344,0.01739726027,-11.847931590310344,-0.11830534330040343
2019-05-20,8.461771083851776,0.01717808219,8.444593001661776,0.08461771083851777
2019-05-21,2.64697691879594,0.01726027397,2.6297166448259404,0.026469769187959402
2019-05-22,-3.9902231088482676,0.01739726027,-4.007620369118268,-0.039902231088482676
2019-05-23,-0.33927400780773276,0.01720547945,-0.35647948725773276,-0.0033927400780773276
2019-05-24,12.87943089261967,0.01712328767,12.86230760494967,0.1287943089261967
2019-05-27,1.9602961624010762,0.01698630137,1.9433098610310762,0.019602961624010762
2019-05-28,-1.0106004387851364,0.01704109589,-1.0276415346751364,-0.010106004387851364
2019-05-29,2.8635457732129055,0.01701369863,2.8465320745829055,0.028635457732129055
2019-05-30,0.3631082008805686,0.01704109589,0.3460671049905686,0.003631082008805686
2019-05-31,-2.773757798047094,0.01676712329,-2.790524921337094,-0.02773757798047094
2019-06-03,3.001738010494681,0.01657534247,2.985162668024681,0.03001738010494681
2019-06-04,0.04816514536936101,0.01663013699,0.031535008379361004,0.00048165145369361007
2019-06-06,-3.3461709438417087,0.01610958904,-3.3622805328817087,-0.03346170943841709
2019-06-07,-3.0386082707425266,0.01621917808,-3.0548274488225267,-0.030386082707425266
2019-06-10,-3.33932710188356,0.0162739726,-3.3556010744835603,-0.0333932710188356
2019-06-11,-0.5049146845919394,0.01635616438,-0.5212708489719394,-0.0050491468459193944
2019-06-12,3.4989333111841825,0.01635616438,3.4825771468041826,0.034989333111841825
